Date,AAPL,APX
2018-08-29,222.204681,1.58
2018-08-30,224.247559,1.6
2018-08-31,226.83853100000002,1.59
2018-09-04,227.565979,1.55
2018-09-05,226.08116099999998,1.51
2018-09-06,222.32428,1.5
2018-09-07,220.53053300000002,1.51
2018-09-10,217.570862,1.52
2018-09-11,223.071671,1.5
2018-09-12,220.301346,1.53
2018-09-13,225.62277200000003,1.57
2018-09-14,223.06169100000002,1.58
2018-09-17,217.122421,1.55
2018-09-18,217.481171,1.52
2018-09-19,217.61071800000002,1.5
2018-09-20,219.26495400000002,1.48
2018-09-21,216.903198,1.5
2018-09-24,220.02229300000002,1.51
2018-09-25,221.417435,1.51
2018-09-26,219.65359500000002,1.48
2018-09-27,224.167831,1.47
2018-09-28,224.955093,1.48
2018-10-01,226.46980299999998,1.47
2018-10-02,228.482788,1.48
2018-10-03,231.263092,1.58
2018-10-04,227.197281,1.51
2018-10-05,223.51013199999997,1.45
2018-10-08,222.99194300000002,1.46
2018-10-09,226.08116099999998,1.49
2018-10-10,215.60771200000002,1.47
2018-10-11,213.704346,1.42
2018-10-12,221.337723,1.46
2018-10-15,216.604233,1.47
2018-10-16,221.37756299999998,1.51
2018-10-17,220.420914,1.52
2018-10-18,215.26889,1.55
2018-10-19,218.54745499999999,1.59
2018-10-22,219.882782,1.6
2018-10-23,221.95555099999999,1.65
2018-10-24,214.342117,1.64
2018-10-25,219.03575099999998,1.71
2018-10-26,215.547913,1.78
2018-10-29,211.502045,1.79
2018-10-30,212.55835,1.75
2018-10-31,218.099014,1.82
2018-11-01,221.447327,1.82
