Date,SPY,AAPL,MMM,BA,CAT,CVX,CSCO,KO,DIS,GS,IBM,INTC,JNJ,JPM,MSFT,PFE
2000-01-03,102.46702575683594,2.677157163619995,27.481184005737305,26.491226196289062,12.379203796386719,18.33912467956543,43.324249267578125,12.459606170654297,23.5494441986084,72.22180938720703,80.0761489868164,28.7033634185791,27.902570724487305,27.69139289855957,42.29518508911133,16.942045211791992
2000-01-04,98.45996856689453,2.451444149017334,26.389219284057617,26.450027465820312,12.220086097717285,18.33912467956543,40.8936882019043,12.473414421081543,24.92890739440918,67.67281341552734,77.3580322265625,27.363054275512695,26.881053924560547,27.16060447692871,40.866424560546875,16.310876846313477
2000-01-05,98.63611602783203,2.487318992614746,27.15358543395996,28.098024368286133,12.506494522094727,18.668071746826172,40.76839828491211,12.583924293518066,25.963504791259766,64.50382232666016,80.0761489868164,27.58987808227539,27.164806365966797,26.99294662475586,41.29734802246094,16.57663345336914
2000-01-06,97.05089569091797,2.2720701694488525,29.337526321411133,28.386409759521484,13.142955780029297,19.46303939819336,40.091854095458984,12.597735404968262,24.92890739440918,67.26388549804688,78.69550323486328,25.981494903564453,28.01606559753418,27.376163482666016,39.9139518737793,17.174585342407227
2000-01-07,102.6872329711914,2.379694938659668,29.919918060302734,29.210399627685547,13.57257080078125,19.805686950683594,42.44725036621094,13.426535606384277,24.53477668762207,67.51946258544922,78.35037231445312,27.05373764038086,29.207839965820312,27.8791446685791,40.435546875,18.3372802734375
2000-01-10,103.03947448730469,2.3378403186798096,29.77433204650879,28.798391342163086,13.127044677734375,19.271148681640625,44.02585983276367,12.998321533203125,28.27903938293457,69.00171661376953,81.4567642211914,28.290943145751953,28.470094680786133,27.400121688842773,40.730384826660156,18.304058074951172
2000-01-11,101.80657196044922,2.2182581424713135,29.264726638793945,28.262805938720703,12.920193672180176,19.09297752380371,42.69782257080078,13.440346717834473,28.57463836669922,69.35953521728516,82.14708709716797,29.590036392211914,28.564661026000977,26.75343132019043,39.687164306640625,18.071514129638672
2000-01-12,100.79375457763672,2.0852222442626953,29.337526321411133,28.386409759521484,13.142955780029297,19.024433135986328,41.62035369873047,13.592297554016113,26.55470085144043,69.00171661376953,82.49224853515625,30.105548858642578,28.299823760986328,26.921096801757812,38.394500732421875,18.669469833374023
2000-01-13,102.15880584716797,2.3139240741729736,29.337526321411133,27.933210372924805,13.286162376403809,19.202627182006836,42.572540283203125,13.385091781616211,27.441505432128906,69.1039810180664,81.62933349609375,30.043684005737305,28.261991500854492,27.328275680541992,39.120216369628906,19.666059494018555
2000-01-14,103.54583740234375,2.402116060256958,28.91893768310547,29.004405975341797,13.222511291503906,19.07925796508789,43.12379455566406,13.495607376098633,26.456174850463867,70.02400207519531,82.57852172851562,34.00275802612305,28.356586456298828,28.310264587402344,40.730384826660156,19.666059494018555
2000-01-18,102.73124694824219,2.4858241081237793,28.281965255737305,29.663583755493164,12.874471664428711,19.58639907836914,44.90288162231445,14.365839958190918,27.195175170898438,71.04623413085938,79.90357208251953,33.69347381591797,27.63774299621582,27.208515167236328,41.84161376953125,19.400299072265625
2000-01-19,103.56790161132812,2.548605442047119,28.77334213256836,31.393951416015625,12.713333129882812,19.284854888916016,45.028160095214844,14.421093940734863,27.39223289489746,71.60844421386719,82.49224853515625,33.01298904418945,27.73232650756836,28.40607261657715,38.82538604736328,19.666059494018555
2000-01-20,101.98271179199219,2.7145259380340576,27.699581146240234,30.65235710144043,12.14937686920166,19.18891143798828,45.05322265625,14.55922794342041,26.505441665649414,70.3759765625,82.14708709716797,31.548965454101562,27.8268985748291,28.382112503051758,38.46253967285156,19.342161178588867
2000-01-21,101.76250457763672,2.6622087955474854,27.64499282836914,30.116775512695312,12.213830947875977,19.42192840576172,46.20586395263672,14.78024673461914,25.815702438354492,70.17124938964844,83.87285614013672,32.31189727783203,27.202646255493164,27.95098876953125,37.6461181640625,18.636259078979492
2000-01-24,98.87825775146484,2.5411317348480225,27.00800895690918,29.210399627685547,11.68209171295166,19.476741790771484,43.725181579589844,14.338212966918945,26.259111404418945,66.9467544555664,83.87285614013672,32.600589752197266,25.32986068725586,27.974933624267578,36.738990783691406,18.27083969116211
2000-01-25,100.00112915039062,2.6846301555633545,26.60760498046875,30.116775512695312,11.247034072875977,19.42192840576172,44.952999114990234,14.55922794342041,29.559968948364258,68.68694305419922,82.2333755493164,33.50786590576172,25.80278968811035,28.59766960144043,37.305938720703125,18.536590576171875
2000-01-26,99.20848846435547,2.635302782058716,28.045364379882812,30.446386337280273,11.585409164428711,19.24374008178711,42.97345733642578,13.93762493133545,28.8702392578125,72.26974487304688,80.59385681152344,31.837636947631836,25.273117065429688,30.058691024780273,36.058631896972656,18.536590576171875
2000-01-27,98.81219482421875,2.630817413330078,28.027172088623047,29.704782485961914,11.488731384277344,18.489885330200195,42.747947692871094,13.150269508361816,29.264368057250977,72.88392639160156,78.35037231445312,32.37375259399414,24.365097045898438,30.920934677124023,35.831844329833984,18.3372802734375
2000-01-28,95.7298355102539,2.4305179119110107,26.862407684326172,29.416393280029297,11.214808464050293,18.106111526489258,41.645408630371094,12.583924293518066,28.96876335144043,71.24607849121094,77.01287078857422,31.012840270996094,25.575782775878906,29.388065338134766,35.65041732788086,18.70269775390625
2000-01-31,98.32783508300781,2.481339693069458,27.262786865234375,29.333986282348633,10.94088363647461,18.33912467956543,43.90058135986328,12.69443416595459,28.6239013671875,75.03359985351562,77.4874496459961,32.64180374145508,26.048704147338867,30.920934677124023,35.51432418823242,19.234209060668945
