Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
_MIWD00D,MSCI AC World Price Index,Stock Indices - Composites,United States Dollar,World,,,,,,,Index Number ,Units,Stock,none,Daily From Dec 1987 To Nov 2018<BR>,,
Date,Ticker,Open,High,Low,Close,Volume,Openint
12/31/1987,_MIWD00D,100,100,100,100,0,
01/04/1988,_MIWD00D,99.895,99.895,99.895,99.895,0,
01/05/1988,_MIWD00D,99.697,99.697,99.697,99.697,0,
01/06/1988,_MIWD00D,101.222,101.222,101.222,101.222,0,
01/07/1988,_MIWD00D,102.02,102.02,102.02,102.02,0,
01/08/1988,_MIWD00D,99.202,99.202,99.202,99.202,0,
01/11/1988,_MIWD00D,99.125,99.125,99.125,99.125,0,
01/12/1988,_MIWD00D,99.092,99.092,99.092,99.092,0,
01/13/1988,_MIWD00D,98.776,98.776,98.776,98.776,0,
01/14/1988,_MIWD00D,99.287,99.287,99.287,99.287,0,
01/15/1988,_MIWD00D,98.696,98.696,98.696,98.696,0,
01/18/1988,_MIWD00D,99.767,99.767,99.767,99.767,0,
01/19/1988,_MIWD00D,99.335,99.335,99.335,99.335,0,
01/20/1988,_MIWD00D,98.675,98.675,98.675,98.675,0,
01/21/1988,_MIWD00D,98.561,98.561,98.561,98.561,0,
01/22/1988,_MIWD00D,99.387,99.387,99.387,99.387,0,
01/25/1988,_MIWD00D,101.347,101.347,101.347,101.347,0,
01/26/1988,_MIWD00D,101.3,101.3,101.3,101.3,0,
01/27/1988,_MIWD00D,100.867,100.867,100.867,100.867,0,
01/28/1988,_MIWD00D,102.135,102.135,102.135,102.135,0,
01/29/1988,_MIWD00D,102.534,102.534,102.534,102.534,0,
02/01/1988,_MIWD00D,101.73,101.73,101.73,101.73,0,
02/02/1988,_MIWD00D,101.881,101.881,101.881,101.881,0,
02/03/1988,_MIWD00D,101.401,101.401,101.401,101.401,0,
02/04/1988,_MIWD00D,101.357,101.357,101.357,101.357,0,
02/05/1988,_MIWD00D,101.055,101.055,101.055,101.055,0,
02/08/1988,_MIWD00D,100.768,100.768,100.768,100.768,0,
02/09/1988,_MIWD00D,100.705,100.705,100.705,100.705,0,
02/10/1988,_MIWD00D,102.027,102.027,102.027,102.027,0,
02/11/1988,_MIWD00D,102.272,102.272,102.272,102.272,0,
02/12/1988,_MIWD00D,101.968,101.968,101.968,101.968,0,
02/15/1988,_MIWD00D,102.901,102.901,102.901,102.901,0,
02/16/1988,_MIWD00D,103.666,103.666,103.666,103.666,0,
02/17/1988,_MIWD00D,104.076,104.076,104.076,104.076,0,
02/18/1988,_MIWD00D,104.549,104.549,104.549,104.549,0,
02/19/1988,_MIWD00D,105.201,105.201,105.201,105.201,0,
02/22/1988,_MIWD00D,106.491,106.491,106.491,106.491,0,
02/23/1988,_MIWD00D,106.808,106.808,106.808,106.808,0,
