Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
TRUSACOM,GFDatabase USA Total Return AAA Corporate Bond Index,Total Return Indices - Bonds,United States Dollar,United States,,,,,,,Index Number ,Units,Stock,none,Monthly From Dec 1814 To Sep 2018<BR>,"Before 1857, data from individual corporate bonds is used. The Masonic Hall Association of Philadelphia 5% Loan is used from 1815 to 1827, the Chesapeake and Delaware Canal 6% Bonds is used from 1827 to 1831, the Schuylkill Navigation Co. 6% Bonds of 1840 is used from 1831 to 1837, the Baltimore and Ohio Railroad 6% Bonds is used from 1837 to 1842, New York, Lake Erie and Western Railroad Co. 7% 5th Mortgage Bonds of 1858 is used in 1842 and 1843, the Philadelphia Gas Works 6% Bonds of 1861 is used from 1843 to 1850 and the Baltimore and Ohio Railroad 6% Bonds of 1867 is used from 1850 to 1858.<br />The index uses the yield from Macaulay's High Grade Rails index from 1857 to 1918 and the yields from Moody's AAA Corporate Bond Index from 1919 on to calculate the total returns for the Index.  The corporate bonds in the index are long-term with a maturity of over 20 years.",
Date,Ticker,Close
12/31/1814,TRUSACOM,0.1509219
01/31/1815,TRUSACOM,0.1515507
02/28/1815,TRUSACOM,0.1521822
03/31/1815,TRUSACOM,0.1498761
04/30/1815,TRUSACOM,0.150533
05/31/1815,TRUSACOM,0.1511928
06/30/1815,TRUSACOM,0.1533361
07/31/1815,TRUSACOM,0.1539917
08/31/1815,TRUSACOM,0.15465
09/30/1815,TRUSACOM,0.1553111
10/31/1815,TRUSACOM,0.1574993
11/30/1815,TRUSACOM,0.1581556
12/31/1815,TRUSACOM,0.1588146
01/31/1816,TRUSACOM,0.1594763
02/29/1816,TRUSACOM,0.1601408
03/31/1816,TRUSACOM,0.160808
04/30/1816,TRUSACOM,0.161478
05/31/1816,TRUSACOM,0.1621509
06/30/1816,TRUSACOM,0.1628265
07/31/1816,TRUSACOM,0.1635049
08/31/1816,TRUSACOM,0.1641862
09/30/1816,TRUSACOM,0.1648703
10/31/1816,TRUSACOM,0.1655573
11/30/1816,TRUSACOM,0.1662471
12/31/1816,TRUSACOM,0.1669398
01/31/1817,TRUSACOM,0.1676354
02/28/1817,TRUSACOM,0.1683339
03/31/1817,TRUSACOM,0.1690353
04/30/1817,TRUSACOM,0.1697396
05/31/1817,TRUSACOM,0.1704468
06/30/1817,TRUSACOM,0.171157
07/31/1817,TRUSACOM,0.1718702
08/31/1817,TRUSACOM,0.1725863
09/30/1817,TRUSACOM,0.1733054
10/31/1817,TRUSACOM,0.1740275
11/30/1817,TRUSACOM,0.1747526
12/31/1817,TRUSACOM,0.1754808
01/31/1818,TRUSACOM,0.1762119
02/28/1818,TRUSACOM,0.1769461
03/31/1818,TRUSACOM,0.1776834
04/30/1818,TRUSACOM,0.1784238
05/31/1818,TRUSACOM,0.1791672
06/30/1818,TRUSACOM,0.1799137
07/31/1818,TRUSACOM,0.1806634
08/31/1818,TRUSACOM,0.1814161
09/30/1818,TRUSACOM,0.182172
10/31/1818,TRUSACOM,0.1829311
11/30/1818,TRUSACOM,0.1836933
12/31/1818,TRUSACOM,0.1844587
01/31/1819,TRUSACOM,0.1852273
02/28/1819,TRUSACOM,0.185999
03/31/1819,TRUSACOM,0.186774
04/30/1819,TRUSACOM,0.1875523
05/31/1819,TRUSACOM,0.1883337
06/30/1819,TRUSACOM,0.1891185
07/31/1819,TRUSACOM,0.1899065
08/31/1819,TRUSACOM,0.1906977
09/30/1819,TRUSACOM,0.1914923
10/31/1819,TRUSACOM,0.1922902
11/30/1819,TRUSACOM,0.1930914
12/31/1819,TRUSACOM,0.1938959
01/31/1820,TRUSACOM,0.1947038
02/29/1820,TRUSACOM,0.1955151
03/31/1820,TRUSACOM,0.1963298
04/30/1820,TRUSACOM,0.1971478
